Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
..\data rocks\IMG\robocam_2017_05_28_15_42_25_454.jpg,2.977267,0.8015155,0,0.06616263,99.68555,85.59588,0.3361951,21.41816,0.01342953
..\data rocks\IMG\robocam_2017_05_28_15_42_25_521.jpg,0,1,0,0.1021334,99.69579,85.59969,0.524738,21.57103,-0.004315286
..\data rocks\IMG\robocam_2017_05_28_15_42_25_588.jpg,0,1,0,0.1837832,99.70918,85.60524,0.7458047,21.66397,-0.001379655
..\data rocks\IMG\robocam_2017_05_28_15_42_25_655.jpg,0,1,0,0.226967,99.73309,85.61462,1.098174,21.54752,-0.000169879
..\data rocks\IMG\robocam_2017_05_28_15_42_25_722.jpg,0,1,0,0.2860398,99.75337,85.62249,1.316746,21.55136,-0.002615799
..\data rocks\IMG\robocam_2017_05_28_15_42_25_788.jpg,0,1,0,0.3343831,99.77179,85.63004,1.263843,21.40263,-0.002112109
..\data rocks\IMG\robocam_2017_05_28_15_42_25_855.jpg,0,1,0,0.3886168,99.80009,85.64128,1.087685,21.47989,-0.00031622
..\data rocks\IMG\robocam_2017_05_28_15_42_25_922.jpg,0,1,0,0.4667241,99.82666,85.65163,1.054661,21.46352,-0.000178736
..\data rocks\IMG\robocam_2017_05_28_15_42_25_989.jpg,0,1,0,0.5358079,99.85663,85.6633,1.074499,21.4662,-0.000460745
..\data rocks\IMG\robocam_2017_05_28_15_42_26_056.jpg,0,1,0,0.5731246,99.90175,85.68094,1.169965,21.58637,-0.000990424
..\data rocks\IMG\robocam_2017_05_28_15_42_26_122.jpg,0,1,0,0.6230437,99.9389,85.6955,1.249394,21.76977,-0.002318653
..\data rocks\IMG\robocam_2017_05_28_15_42_26_189.jpg,0,1,0,0.6716986,99.97684,85.71044,1.240818,21.7353,-0.001208053
..\data rocks\IMG\robocam_2017_05_28_15_42_26_256.jpg,0,1,0,0.7441624,100.0314,85.73196,1.194354,21.72491,-0.000678951
..\data rocks\IMG\robocam_2017_05_28_15_42_26_323.jpg,0,1,0,0.780713,100.0768,85.74986,1.209683,21.73207,-0.000762643
..\data rocks\IMG\robocam_2017_05_28_15_42_26_390.jpg,0,1,0,0.8638338,100.1252,85.76894,1.235236,21.72754,-0.000675278
..\data rocks\IMG\robocam_2017_05_28_15_42_26_456.jpg,0,1,0,0.9130611,100.194,85.79607,1.249426,21.72065,-0.000742159
..\data rocks\IMG\robocam_2017_05_28_15_42_26_523.jpg,0,1,0,0.9621575,100.2484,85.8175,1.232373,21.72771,-0.001094204
..\data rocks\IMG\robocam_2017_05_28_15_42_26_590.jpg,0,1,0,1.026734,100.305,85.83984,1.202811,21.7019,-1.08E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_26_657.jpg,0,1,0,1.068873,100.3857,85.87159,1.226131,21.66126,-0.000315275
..\data rocks\IMG\robocam_2017_05_28_15_42_26_724.jpg,0,1,0,1.118731,100.4492,85.89655,1.239593,21.61069,-0.000641601
